country,year,co2,co2_growth_prct,co2_per_capita,cumulative_co2,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,trade_co2_share,population
India,2020,2441.792,-7.01,1.769,54416.489,1587.552,122.908,1.678,126.984,602.67,0,0.089,1.15,0.001,0.092,0.437,0,0,1380004385
Africa,2020,1326.044,-5.85,0.99,47610.745,446.097,77.025,44.459,287.016,471.446,0,0.058,0.333,0.033,0.214,0.352,0,0,1340598111
Albania,2020,4.535,-6.76,1.576,285.503,0.461,0.78,0,0.153,3.14,0,0.271,0.16,0,0.053,1.091,0,0,2877800
Algeria,2020,154.995,-6.99,3.535,4587.132,1.099,10.749,5.599,88.219,49.33,0,0.245,0.025,0.128,2.012,1.125,0,0,43851043
Andorra,2020,0.466,-7.08,6.035,15.071,0,0,0,0,0.466,0,0,0,0,0,6.035,0,0,77265
Angola,2020,22.198,-5.49,0.675,682.26,0,1.937,7.867,1.314,11.08,0,0.059,0,0.239,0.04,0.337,0,0,32866267
Anguilla,2020,0.123,-11.51,8.227,3.421,0,0,0,0,0.123,0,0,0,0,0,8.227,0,0,15002
Antarctica,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,2020,0.43,-11.51,4.395,21.527,0,0,0,0,0.43,0,0,0,0,0,4.395,0,0,97928
Armenia,2020,5.89,6.54,1.988,383.336,0.004,0.315,0,4.873,0.698,0,0.106,0.002,0,1.644,0.236,0,0,2963234
Aruba,2020,0.753,-11.51,7.055,75.921,0,0,0,0,0.753,0,0,0,0,0,7.055,0,0,106766
Asia,2020,20317.058,-1.41,4.379,532916.155,11139.156,1315.197,141.588,2954.287,4566.48,200.351,0.284,2.401,0.03,0.637,0.984,0.043,0,4639847425
Australia,2020,391.892,-5.46,15.368,18635.75,159.817,3.025,20.341,80.208,124.606,3.895,0.119,6.267,0.798,3.145,4.886,0.153,0,25499881
Austria,2020,60.635,-10.78,6.732,5505.509,10.205,1.771,0.118,17.037,30.342,1.162,0.197,1.133,0.013,1.892,3.369,0.129,0,9006400
Azerbaijan,2020,37.72,-2.59,3.72,2503.756,0.004,1.083,2.667,23.405,10.561,0,0.107,0,0.263,2.308,1.042,0,0,10139175
Bahamas,2020,2.338,-11.38,5.945,169.519,0.008,0,0,0,2.329,0,0,0.021,0,0,5.923,0,0,393248
Bahrain,2020,34.96,1.51,20.546,926.303,0,0.524,0,30.83,3.606,0,0.308,0,0,18.118,2.119,0,0,1701583
Bangladesh,2020,92.842,-1.46,0.564,1562.306,14.751,1.461,0,59.226,17.404,0,0.009,0.09,0,0.36,0.106,0,0,164689383
Barbados,2020,1.087,-10.58,3.782,54.875,0,0.071,0,0.054,0.962,0,0.246,0,0,0.188,3.348,0,0,287371
Belarus,2020,57.445,-5.86,6.079,4907.842,3.379,2.267,0.002,34.006,16.8,0.992,0.24,0.358,0,3.599,1.778,0.105,0,9449321
Belgium,2020,83.749,-16.04,7.226,12543.142,10.902,2.819,0.116,35.47,32.58,1.863,0.243,0.941,0.01,3.06,2.811,0.161,0,11589616
Belize,2020,0.583,-11.48,1.466,19.063,0,0,0,0.007,0.576,0,0,0,0,0.018,1.448,0,0,397621
Benin,2020,6.703,-8.37,0.553,111.665,0,0.212,0,0.04,6.451,0,0.018,0,0,0.003,0.532,0,0,12123198
Bermuda,2020,0.624,-10.54,10.028,29.205,0.017,0,0,0,0.608,0,0,0.27,0,0,9.758,0,0,62273
Bhutan,2020,1.925,-0.11,2.495,19.193,0.965,0.359,0,0,0.601,0,0.465,1.251,0,0,0.779,0,0,771612
Afghanistan,2020,12.16,0.11,0.312,192.849,7.508,0.061,0,0.314,4.277,5.277,6.277,7.277,8.277,9.277,10.277,0,0,38928341
Bolivia,2020,20.7,-13.2,1.773,530.155,0.015,1.439,0.154,7.69,11.402,0,0.123,0.001,0.013,0.659,0.977,0,0,11673029
Bonaire Sint Eustatius and Saba,2020,0.301,-11.51,11.466,30.354,0,0,0,0,0.301,0,0,0,0,0,11.466,0,0,26221
Bosnia and Herzegovina,2020,21.418,-13.8,6.528,954.784,16.201,0.381,0,0.463,4.373,0,0.116,4.938,0,0.141,1.333,0,0,3280815
Botswana,2020,6.519,-5.86,2.772,150.402,3.738,0.006,0,0,2.775,0,0.003,1.59,0,0,1.18,0,0,2351625
Brazil,2020,467.384,-3.79,2.199,16238.506,55.446,22.198,17.505,60.331,305.512,6.392,0.104,0.261,0.082,0.284,1.437,0.03,0,212559409
British Virgin Islands,2020,0.139,-11.51,4.605,5.499,0,0,0,0,0.139,0,0,0,0,0,4.605,0,0,30237
Brunei,2020,10.158,2.01,23.22,360.375,0,0,0.663,7.529,1.967,0,0,0,1.516,17.209,4.495,0,0,437483
Bulgaria,2020,37.444,-11.32,5.389,3831.21,16.762,1.127,0.827,5.405,12.125,1.198,0.162,2.412,0.119,0.778,1.745,0.172,0,6948445
Burkina Faso,2020,3.97,-8.45,0.19,64.321,0,0.12,0,0,3.85,0,0.006,0,0,0,0.184,0,0,20903278
Burundi,2020,0.602,-14.47,0.051,13.057,0.016,0.027,0,0,0.559,0,0.002,0.001,0,0,0.047,0,0,11890781
Cambodia,2020,15.326,-0.02,0.917,158.244,4.541,3.316,0,0,7.47,0,0.198,0.272,0,0,0.447,0,0,16718971
Cameroon,2020,6.889,-6.88,0.26,215.092,0,1.124,0,1.215,4.55,0,0.042,0,0,0.046,0.171,0,0,26545864
Canada,2020,535.823,-8,14.197,33576.743,45.118,7.177,15.947,219.132,246.355,2.094,0.19,1.195,0.422,5.806,6.527,0.056,0,37742157
Cape Verde,2020,0.55,-8.69,0.989,13.287,0,0,0,0,0.55,0,0,0,0,0,0.989,0,0,555988
